<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SBER,D,221102,000000,125.49
SBER,D,221103,000000,125.75
SBER,D,221107,000000,132
SBER,D,221108,000000,131.29
SBER,D,221109,000000,127.3
SBER,D,221110,000000,136.68
SBER,D,221111,000000,136.98
SBER,D,221114,000000,139.8
SBER,D,221115,000000,135.66
SBER,D,221116,000000,139.18
SBER,D,221117,000000,137.57
SBER,D,221118,000000,136.89
SBER,D,221121,000000,134.46
SBER,D,221122,000000,135.65
SBER,D,221123,000000,136.59
SBER,D,221124,000000,136.61
SBER,D,221125,000000,136.53
SBER,D,221128,000000,135.53
SBER,D,221129,000000,136.37
SBER,D,221130,000000,136.78
SBER,D,221201,000000,137.15
SBER,D,221202,000000,136.66
SBER,D,221205,000000,142
SBER,D,221206,000000,140.61
SBER,D,221207,000000,142.32
SBER,D,221208,000000,139.92
SBER,D,221209,000000,140.03
SBER,D,221212,000000,139.48
SBER,D,221213,000000,138.13
SBER,D,221214,000000,137.3
SBER,D,221215,000000,134.55
SBER,D,221216,000000,135.45
SBER,D,221219,000000,134.64
SBER,D,221220,000000,138.28
SBER,D,221221,000000,137.75
SBER,D,221222,000000,137.69
SBER,D,221223,000000,137.94
SBER,D,221226,000000,140.95
SBER,D,221227,000000,139.9
SBER,D,221228,000000,139.51
SBER,D,221229,000000,140.96
SBER,D,221230,000000,141.15
SBER,D,230103,000000,141.78
SBER,D,230104,000000,141.43
SBER,D,230105,000000,141.27
SBER,D,230106,000000,141.4
SBER,D,230109,000000,142.4
SBER,D,230110,000000,142.81
SBER,D,230111,000000,149.96
SBER,D,230112,000000,149.3
SBER,D,230113,000000,151.69
SBER,D,230116,000000,153.71
SBER,D,230117,000000,150.45
SBER,D,230118,000000,151.47
SBER,D,230119,000000,149.34
SBER,D,230120,000000,151.38
SBER,D,230123,000000,153.5
SBER,D,230124,000000,152.66
SBER,D,230125,000000,152.81
SBER,D,230126,000000,152.4
SBER,D,230127,000000,153.2
SBER,D,230130,000000,153.38
SBER,D,230131,000000,158.07
SBER,D,230201,000000,158.29
SBER,D,230202,000000,159.45
SBER,D,230203,000000,161.26
SBER,D,230206,000000,167.09
SBER,D,230207,000000,165.39
SBER,D,230208,000000,164.15
SBER,D,230209,000000,165.31
SBER,D,230210,000000,165.52
SBER,D,230213,000000,164.32
SBER,D,230214,000000,161.86
SBER,D,230215,000000,156.25
SBER,D,230216,000000,158.22
SBER,D,230217,000000,159.73
SBER,D,230220,000000,160.09
SBER,D,230221,000000,164.15
SBER,D,230222,000000,163.37
SBER,D,230224,000000,164.3
SBER,D,230227,000000,169.95
SBER,D,230228,000000,169.82
SBER,D,230301,000000,170.53
SBER,D,230302,000000,168.05
SBER,D,230303,000000,171.16
SBER,D,230306,000000,171.84
SBER,D,230307,000000,174.01
SBER,D,230309,000000,172.55
SBER,D,230310,000000,172.53
SBER,D,230313,000000,172.15
SBER,D,230314,000000,175.71
SBER,D,230315,000000,175.3
SBER,D,230316,000000,175.45
SBER,D,230317,000000,193.59
SBER,D,230320,000000,203.73
SBER,D,230321,000000,203.32
SBER,D,230322,000000,202.89
SBER,D,230323,000000,202.58
SBER,D,230324,000000,203.57
SBER,D,230327,000000,211.84
SBER,D,230328,000000,214.03
SBER,D,230329,000000,217.99
SBER,D,230330,000000,216.87
SBER,D,230331,000000,216.6
SBER,D,230403,000000,216.09
SBER,D,230404,000000,214.83
SBER,D,230405,000000,216.15
SBER,D,230406,000000,214.25
SBER,D,230407,000000,216.27
SBER,D,230410,000000,222.21
SBER,D,230411,000000,218.6
SBER,D,230412,000000,219.22
SBER,D,230413,000000,219.85
SBER,D,230414,000000,221.87
SBER,D,230417,000000,228.1
SBER,D,230418,000000,232.66
SBER,D,230419,000000,232.95
SBER,D,230420,000000,236.28
SBER,D,230421,000000,235.17
SBER,D,230424,000000,235.1
SBER,D,230425,000000,235.3
SBER,D,230426,000000,235.21
SBER,D,230427,000000,240.38
SBER,D,230428,000000,240.38
SBER,D,230502,000000,242.62
SBER,D,230503,000000,235.77
SBER,D,230504,000000,238.89
SBER,D,230505,000000,237.7
SBER,D,230508,000000,238.27
SBER,D,230510,000000,227.06
SBER,D,230511,000000,229.32
SBER,D,230512,000000,229.29
SBER,D,230515,000000,231.7
SBER,D,230516,000000,230.62
SBER,D,230517,000000,230.55
SBER,D,230518,000000,231.7
SBER,D,230519,000000,231.27
SBER,D,230522,000000,231
SBER,D,230523,000000,236.43
SBER,D,230524,000000,246.06
SBER,D,230525,000000,243.76
SBER,D,230526,000000,248.1
SBER,D,230529,000000,251.18
SBER,D,230530,000000,244.65
SBER,D,230531,000000,246.17
SBER,D,230601,000000,241.66
SBER,D,230602,000000,243.95
SBER,D,230605,000000,237.12
SBER,D,230606,000000,240.91
SBER,D,230607,000000,241.25
SBER,D,230608,000000,241.77
SBER,D,230609,000000,240.4
SBER,D,230613,000000,244.33
SBER,D,230614,000000,244.6
SBER,D,230615,000000,245.18
SBER,D,230616,000000,243.87
SBER,D,230619,000000,242.28
SBER,D,230620,000000,241.74
SBER,D,230621,000000,242.2
SBER,D,230622,000000,240.66
SBER,D,230623,000000,235.67
SBER,D,230626,000000,238.4
SBER,D,230627,000000,241.21
SBER,D,230628,000000,239.67
SBER,D,230629,000000,239.99
SBER,D,230630,000000,239.61
SBER,D,230703,000000,243.33
SBER,D,230704,000000,240.7
SBER,D,230705,000000,240.95
SBER,D,230706,000000,240.96
SBER,D,230707,000000,243.67
SBER,D,230710,000000,249.4
SBER,D,230711,000000,247.99
SBER,D,230712,000000,247.52
SBER,D,230713,000000,246.19
SBER,D,230714,000000,246.45
SBER,D,230717,000000,245.39
SBER,D,230718,000000,246.77
SBER,D,230719,000000,245.85
SBER,D,230720,000000,242.7
SBER,D,230721,000000,244.13
SBER,D,230724,000000,244.87
SBER,D,230725,000000,247.2
SBER,D,230726,000000,247.05
SBER,D,230727,000000,247.95
SBER,D,230728,000000,249.25
SBER,D,230731,000000,267.4
SBER,D,230801,000000,268.5
SBER,D,230802,000000,268.57
SBER,D,230803,000000,269.11
SBER,D,230804,000000,264.12
SBER,D,230807,000000,261.92
SBER,D,230808,000000,264.62
SBER,D,230809,000000,263.91
SBER,D,230810,000000,266.91
SBER,D,230811,000000,266.23
SBER,D,230814,000000,260.45
SBER,D,230815,000000,260.42
SBER,D,230816,000000,256.02
SBER,D,230817,000000,258.5
SBER,D,230818,000000,261.14
SBER,D,230821,000000,261.15
SBER,D,230822,000000,261.45
SBER,D,230823,000000,256.4
SBER,D,230824,000000,259.63
SBER,D,230825,000000,260.5
SBER,D,230828,000000,266.93
SBER,D,230829,000000,265.68
SBER,D,230830,000000,264.7
SBER,D,230831,000000,264.85
SBER,D,230901,000000,265
SBER,D,230904,000000,267.39
SBER,D,230905,000000,264.75
SBER,D,230906,000000,263.5
SBER,D,230907,000000,258.79
SBER,D,230908,000000,255.68
SBER,D,230911,000000,256.25
SBER,D,230912,000000,262.4
SBER,D,230913,000000,258.18
SBER,D,230914,000000,260
SBER,D,230915,000000,260.83
SBER,D,230918,000000,259.07
SBER,D,230919,000000,252.72
SBER,D,230920,000000,253.77
SBER,D,230921,000000,250.16
SBER,D,230922,000000,251.99
SBER,D,230925,000000,252.65
SBER,D,230926,000000,255.87
SBER,D,230927,000000,256.1
SBER,D,230928,000000,257.67
SBER,D,230929,000000,260.72
SBER,D,231002,000000,258.98
SBER,D,231003,000000,259.65
SBER,D,231004,000000,259.53
SBER,D,231005,000000,259.38
SBER,D,231006,000000,262.93
SBER,D,231009,000000,265.25
SBER,D,231010,000000,263
SBER,D,231011,000000,260.21
SBER,D,231012,000000,264.5
SBER,D,231013,000000,263.51
SBER,D,231016,000000,268.15
SBER,D,231017,000000,270
SBER,D,231018,000000,267.9
SBER,D,231019,000000,268.65
SBER,D,231020,000000,269.8
SBER,D,231023,000000,270.1
SBER,D,231024,000000,271.27
SBER,D,231025,000000,273.73
SBER,D,231026,000000,269.9
SBER,D,231027,000000,269.7
SBER,D,231030,000000,269.89
SBER,D,231031,000000,268.35
SBER,D,231101,000000,269.68
SBER,D,231102,000000,269.06
SBER,D,231103,000000,268.54
SBER,D,231106,000000,273.42
SBER,D,231107,000000,273.31
SBER,D,231108,000000,278.15
SBER,D,231109,000000,276.65
SBER,D,231110,000000,280.19
SBER,D,231113,000000,283.97
SBER,D,231114,000000,280.87
SBER,D,231115,000000,282.89
SBER,D,231116,000000,279.7
SBER,D,231117,000000,281.6
SBER,D,231120,000000,282.91
